what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1292195584196
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1292195584197
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1292195584197
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1292195584197
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1292195584198
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1292195584199
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1292195584199
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1292195584200
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1292195584201
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1292195584202
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1292195584202
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1292195584202
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1292195584203
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1292195584204
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1292195584205
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1292195584205
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1292195584205
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1292195584206
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1292195584207
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1292195584207
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1292195584208
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1292195584208
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1292195584209
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1292195584209
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1292195584210
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1292195584210
started,bundle,com.google.appengine.eclipse.core,1.4.0.v201010280102,"com.google.appengine.eclipse.core",1292195584210
started,bundle,com.google.gdt.eclipse.core,1.4.0.v201010280102,"com.google.gdt.eclipse.core",1292195584211
started,bundle,com.google.gdt.eclipse.maven,1.4.0.v201010280102,"com.google.gdt.eclipse.maven",1292195584211
started,bundle,com.google.gdt.eclipse.platform.e36,1.4.0.v201010280102,"com.google.gdt.eclipse.platform.e36",1292195584211
started,bundle,com.google.gdt.eclipse.platform.shared,1.4.0.v201010280102,"com.google.gdt.eclipse.platform.shared",1292195584212
started,bundle,com.google.gdt.eclipse.suite,1.4.0.v201010280102,"com.google.gdt.eclipse.suite",1292195584212
started,bundle,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core",1292195584212
os,sysinfo,,,"win32",1292195584214
arch,sysinfo,,,"x86_64",1292195584214
ws,sysinfo,,,"win32",1292195584214
locale,sysinfo,,,"en_US",1292195584214
processors,sysinfo,,,"8",1292195584214
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1292195584214
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1292195584215
java.specification.name,sysinfo,,,"Java Platform API Specification",1292195584215
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1292195584215
java.specification.version,sysinfo,,,"1.6",1292195584215
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1292195584215
java.version,sysinfo,,,"1.6.0_22",1292195584215
java.vm.info,sysinfo,,,"mixed mode",1292195584215
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1292195584215
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1292195584215
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1292195584215
java.vm.specification.version,sysinfo,,,"1.0",1292195584215
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1292195584215
java.vm.version,sysinfo,,,"17.1-b03",1292195584215
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1292195591303
started,bundle,com.google.gdt.eclipse.platform,1.4.0.v201010280102,"com.google.gdt.eclipse.platform",1292195591356
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195591474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195594907
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292195607969
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1292195608182
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1292195608270
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292195608280
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1292195608357
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1292195612067
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292195613893
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195621718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195627456
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1292195627464
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195634067
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195644813
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292195644838
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292195645052
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292195651677
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292195658881
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195662423
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195665453
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1292195665459
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292195670581
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1292195674099
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195675974
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195700495
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1292195700509
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1292195700509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195710545
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292195737922
